Location,Date collected,Month.code,Time collected (h),Quadrat identifier,Length mm,Growth bands,Shell erosion (mm),Notes
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,99.5,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,94.4,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,92.2,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,105,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,91.9,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,80.9,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,94.6,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,88.7,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,92.2,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,75.8,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,85.3,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,101.3,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,102.7,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,85,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,71,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8d,99.9,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,5.6,0,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,10.8,0,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,29.2,1,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,35.9,1,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,51.1,2,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,72.8,2,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,84.8,9,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,99,13,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,99.4,13,27.5,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,119.1,16,50,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,114.3,13,39,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,112.2,10,53,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,79.8,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,95.5,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,115.8,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,112.1,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,71.2,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,69.9,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,76.8,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,107.5,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,59.2,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,89.3,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,90,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,87.9,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,91.6,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,58.5,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,61.7,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,86.2,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,92.7,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,91.7,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,90.3,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,92.8,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,87.3,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,96.5,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8e,103.7,,,
Folly Beach County Park (side B),9/16/2016,September,,9a,90.9,4,,
Folly Beach County Park (side B),9/16/2016,September,,9a,102.4,,,
Folly Beach County Park (side B),9/16/2016,September,,9a,99.4,,,
Folly Beach County Park (side B),9/16/2016,September,,9a,103.2,,,
Folly Beach County Park (side B),9/16/2016,September,,9a,115.6,,,
Folly Beach County Park (side B),9/16/2016,September,,9a,13.3,,,
Folly Beach County Park (side B),9/16/2016,September,,9a,17.5,0,,
Folly Beach County Park (side B),9/16/2016,September,,9a,27,1,,
Folly Beach County Park (side B),9/16/2016,September,,9a,99.4,8,,
Folly Beach County Park (side B),9/16/2016,September,,9a,88.2,3,,
Folly Beach County Park (side B),9/16/2016,September,,9a,116.2,12,,
Folly Beach County Park (side B),9/16/2016,September,,9a,107.6,14,28,
Folly Beach County Park (side B),9/16/2016,September,,9a,113.1,13,,
Folly Beach County Park (side B),9/16/2016,September,,9a,105.2,9,,
Folly Beach County Park (side B),9/16/2016,September,,9a,111.2,12,,
Folly Beach County Park (side B),9/16/2016,September,,9b,55.2,,,
Folly Beach County Park (side B),9/16/2016,September,,9b,33,,,
Folly Beach County Park (side B),9/16/2016,September,,9b,5.5,,,
Folly Beach County Park (side B),9/16/2016,September,,9b,108,,,
Folly Beach County Park (side B),9/16/2016,September,,9b,94.7,,,
Folly Beach County Park (side B),9/16/2016,September,,9b,91,,,
Folly Beach County Park (side B),9/16/2016,September,,9b,92.7,,,
Folly Beach County Park (side B),9/16/2016,September,,9b,105.1,,,
Folly Beach County Park (side B),9/16/2016,September,,9b,107.5,,,
Folly Beach County Park (side B),9/16/2016,September,,9b,106.3,,,
Folly Beach County Park (side B),9/16/2016,September,,9b,96,,,
Folly Beach County Park (side B),9/16/2016,September,,9b,104.5,,,
Folly Beach County Park (side B),9/16/2016,September,,9b,87.6,,,
Folly Beach County Park (side B),9/16/2016,September,,9b,104.1,,,
Folly Beach County Park (side B),9/16/2016,September,,9b,11.9,0,,
Folly Beach County Park (side B),9/16/2016,September,,9b,31.1,0,,
Folly Beach County Park (side B),9/16/2016,September,,9b,70.3,3,,
Folly Beach County Park (side B),9/16/2016,September,,9b,107.5,13,32,
Folly Beach County Park (side B),9/16/2016,September,,9b,98.4,8,,
Folly Beach County Park (side B),9/16/2016,September,,9b,92.8,4,,
Folly Beach County Park (side B),9/16/2016,September,,9b,97.6,8,,
Folly Beach County Park (side B),9/16/2016,September,,9b,101.6,10,,
Folly Beach County Park (side B),9/16/2016,September,,9b,106.6,14,,
Folly Beach County Park (side B),9/16/2016,September,,9b,92.8,6,,
Folly Beach County Park (side B),9/16/2016,September,,9c,31.9,,,
Folly Beach County Park (side B),9/16/2016,September,,9c,102.8,,,
Folly Beach County Park (side B),9/16/2016,September,,9c,88.4,,,
Folly Beach County Park (side B),9/16/2016,September,,9c,72.7,,,
Folly Beach County Park (side B),9/16/2016,September,,9c,98.3,,,
Folly Beach County Park (side B),9/16/2016,September,,9c,104.6,,,
Folly Beach County Park (side B),9/16/2016,September,,9c,67.7,,,
Folly Beach County Park (side B),9/16/2016,September,,9c,114.3,,,
Folly Beach County Park (side B),9/16/2016,September,,9c,104.3,,,
Folly Beach County Park (side B),9/16/2016,September,,9c,100.3,,,
Folly Beach County Park (side B),9/16/2016,September,,9c,103.8,,,
Folly Beach County Park (side B),9/16/2016,September,,9c,110.8,10,,
Folly Beach County Park (side B),9/16/2016,September,,9c,61.9,2,,
Folly Beach County Park (side B),9/16/2016,September,,9c,113.4,12,37,
Folly Beach County Park (side B),9/16/2016,September,,9c,109.4,12,17,
Folly Beach County Park (side B),9/16/2016,September,,9c,108.1,10,,
Folly Beach County Park (side B),9/16/2016,September,,9c,61.6,2,,
Folly Beach County Park (side B),9/16/2016,September,,9c,100.1,7,,
Folly Beach County Park (side B),9/16/2016,September,,9c,103.7,6,,
Folly Beach County Park (side B),9/16/2016,September,,9c,104.3,8,,
Folly Beach County Park (side B),9/16/2016,September,,9c,115.7,14,32.5,
Folly Beach County Park (side B),9/16/2016,September,,9d,27.3,,,
Folly Beach County Park (side B),9/16/2016,September,,9d,34.4,,,
Folly Beach County Park (side B),9/16/2016,September,,9d,39.2,1,,
Folly Beach County Park (side B),9/16/2016,September,,9d,89.5,,,
Folly Beach County Park (side B),9/16/2016,September,,9d,100.7,,,
Folly Beach County Park (side B),9/16/2016,September,,9d,116.4,,,
Folly Beach County Park (side B),9/16/2016,September,,9d,42.2,1,,
Folly Beach County Park (side B),9/16/2016,September,,9d,71.4,3,,
