Block,Treatment,Length,Bands,Notes,,,
2,Control,89.8,2+,,,,
2,Control,94.8,2+,,,,
2,Control,82.2,2+,,,,
2,Control,86.5,2+,,,,
2,Control,76.3,2+,,,,
2,Control,83.3,2+,,,,
2,Control,89.1,2+,,,,
8,Control,15,0,,,,
8,Control,47.7,2+,,,,
8,Control,68.5,2+,,,,
8,Control,97.9,2+,,,,
8,Control,112.6,2+,,,,
8,Control,115.9,2+,,,,
8,Control,88.5,2+,,,,
8,Control,105.2,2+,,,,
8,Control,103.2,2+,,,,
8,Control,108.7,2+,,,,
8,Control,101.5,2+,,,,
9,Full,,,,,,
5,Full,,,,,,
4,Full,,,,,,
6,Full,,,,,,
3,Full,,,,,,
